OccMain,OccSub,OccMid,OccMinor,OccCodeAgg,1985,1990,1995,2000,2005,ShortTitle,MainTitle,MidTitle,MinorTitle,MinorTitleLabel,,,,,,,
A,10,103,1014,Agg014,1985015,1990014,1995014,2000014,2005015,Veterinary surgeons,,,Veterinary surgeons,Veterinarians,,,,,,,
A,10,103,1015,Agg015,1985016,1990015,1995015,2000015,2005016,Pharmacists,,,Pharmacists,Pharmacists,,,,,,,
A,10,103,1016,Agg016,1985017,1990016,1995016,2000016,2005017,Public health nurses,,,Public health nurses,Public health nurses,,,,,,,
A,10,103,1017,Agg017,1985018,1990017,1995017,2000017,2005018,Midwives,,,Midwives,Midwives,,,,,,,
A,10,103,1018,Agg018,1985019,1990018,1995018,2000018,2005019,Nurses,,,Nurses,Nurses,,,,,,,
A,10,103,1019,Agg019,1985021,1990019,1995019,2000019,2005020,Radiologists,,,Diagnostic radiographers and X-ray technicians,Radiographers,,,,,,,
A,10,103,1020,Agg020,1985022,1990020,1995020,2000020,2005021,Clinical lab techs,,,Clinical laboratory and medical technicians,Clinical tech,,,,,,,
A,10,103,1021,Agg021,1985023,1990021,1995021,2000021,2005022,Dental hygienists,,,Dental hygienists,Dental hygienists,,,,,,,
A,10,103,1022,Agg022,1985024,1990022,1995022,2000022,2005023,Dental technicians,,,Dental technicians,Dental tech,,,,,,,
A,10,103,1023,Agg023,1985020,1990023,1995023,2000023,2005024,Nutritionists,,,Nutritionists,Nutritionists,,,,,,,
A,10,103,1024,Agg024,1985025,1990024,1995024,2000024,2005025,Alternative medicine practitioners,,,"Masseurs, chiropractors, acupuncturists, moxacauterists and Judo-orthopedists","Chiropractors, masseurs, related",,,,,,,
A,10,103,1025,Agg025,1985026,1990025,1995025,2000025,2005026,Other health care workers,,,Other health care workers,Health care NEC,,,,,,,
A,10,104,1026,Agg026,1985047,1990026,1995026,2000026,2005027,Childcare workers,,SOCIAL WELFARE SPECIALIST PROFESSIONALS,Childcare workers,Childcare workers,,,,,,,
A,10,104,1027,Agg027,1985048,1990027,1995027,2000027,2005028,Other social welfare ,,,Other social welfare specialist professionals,Other social workers,,,,,,,
A,10,105,1028,Agg028,1985027,1990028,1995028,2000028,2005029,"Judges, prosecutors, attorneys",,LEGAL WORKERS,"Judges, public prosecutors and attorneys","Judges, lawyers",,,,,,,
A,10,105,1029,Agg029,NA,NA,NA,2000029,2005030,NA,,,NA,NA,,,,,,,
A,10,105,1029,Agg029,1985028,1990029,1995029,2000030,2005031,Other legal workers,,,Other legal workers,Legal NEC,,,,,,,
A,10,106,1030,Agg030,1985029,1990030,1995030,2000031,2005032,Certified public accountants and licensed tax accountants,,MANAGEMENT SPECIALISTS,Certified public accountants and licensed tax accountants,Accountants,,,,,,,
A,10,106,1031,Agg031,NA,NA,NA,2000032,2005033,Certified social insurance and labor consultant,,,Certified social insurance and labor consultant,Social insurance and labor consultant,,,,,,,
A,10,106,1032,Agg032,NA,NA,NA,2000033,2005034,Other management specialists,,,Other management specialists,Management specialists NEC,,,,,,,
